Id2,Geography, SEX AND AGE - Total population, SEX AND AGE - Total population - Male, SEX AND AGE - Total population - Female, SEX AND AGE - Median age (years), SEX AND AGE - Under 18 years, SEX AND AGE - Under 18 years - Male, SEX AND AGE - Under 18 years - Female, SEX AND AGE - 18 years and over, SEX AND AGE - 18 years and over - Male, SEX AND AGE - 18 years and over - Female, SEX AND AGE - 18 to 34 years, SEX AND AGE - 18 to 34 years - Male, SEX AND AGE - 18 to 34 years - Female, SEX AND AGE - 35 to 64 years, SEX AND AGE - 35 to 64 years - Male, SEX AND AGE - 35 to 64 years - Female, SEX AND AGE - 65 years and over, SEX AND AGE - 65 years and over - Male, SEX AND AGE - 65 years and over - Female, MARITAL STATUS - Male 15 years and over - Never married, RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS - Population 30 years and over, RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state, RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,"Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Male","Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Female", POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people,YEAR
45060,"Syracuse, NY Metro Area",660458,48.7,51.3,39.4,142048,50.9,49.1,518410,48.1,51.9,156821,49.3,50.7,258368,49.0,51.0,103221,44.0,56.0,39.7,400867,1.7,1.0,65319,49248,15.0,2015
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2975225,48.4,51.6,42.1,605464,51.1,48.9,2369761,47.7,52.3,624307,49.5,50.5,1180405,48.3,51.7,565049,44.5,55.5,35.0,1932742,3.2,0.9,61611,47063,14.7,2015
45780,"Toledo, OH Metro Area",605956,48.7,51.3,37.4,137574,51.5,48.5,468382,47.9,52.1,147951,49.9,50.1,230120,48.5,51.5,90311,43.1,56.9,39.5,357534,2.0,0.4,62469,43528,17.2,2015
46060,"Tucson, AZ Metro Area",1010025,49.1,50.9,38.4,218778,50.8,49.2,791247,48.6,51.4,246134,51.2,48.8,359303,48.6,51.4,185810,45.3,54.7,37.9,606956,3.6,1.1,59020,43612,18.9,2015
46140,"Tulsa, OK Metro Area",980794,49.0,51.0,36.8,245883,51.1,48.9,734911,48.3,51.7,222034,50.1,49.9,372164,48.8,51.2,140713,44.1,55.9,30.4,580024,2.5,0.6,62393,43323,15.4,2015
46520,"Urban Honolulu, HI Metro Area",998714,50.9,49.1,36.5,214854,51.2,48.8,783860,50.8,49.2,262607,55.7,44.3,359637,50.3,49.7,161616,43.8,56.2,38.5,596349,4.2,1.5,62663,49968,9.2,2015
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1723351,49.4,50.6,35.6,382650,51.2,48.8,1340701,48.9,51.1,465434,52.5,47.5,641826,48.3,51.7,233441,43.3,56.7,37.6,1001534,4.7,0.7,59276,45482,12.3,2015
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6098283,48.9,51.1,36.6,1414793,51.0,49.0,4683490,48.2,51.8,1479688,49.8,50.2,2489407,48.6,51.4,714395,43.6,56.4,38.5,3680121,4.2,1.3,91719,70105,8.3,2015
48620,"Wichita, KS Metro Area",644502,49.8,50.2,35.7,168714,51.6,48.4,475788,49.1,50.9,147862,51.2,48.8,238906,49.6,50.4,89020,44.4,55.6,36.1,371465,1.9,0.2,59448,42797,14.1,2015
49180,"Winston-Salem, NC Metro Area",659330,48.2,51.8,40.4,150308,50.9,49.1,509022,47.4,52.6,135787,49.0,51.0,266695,48.3,51.7,106540,43.3,56.7,32.4,409951,2.2,0.3,57887,45142,16.7,2015
49340,"Worcester, MA-CT Metro Area",935536,49.3,50.7,39.8,202447,51.4,48.6,733089,48.7,51.3,208917,50.2,49.8,388808,49.6,50.4,135364,43.8,56.2,37.7,581066,1.7,0.7,74442,56753,11.9,2015
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",549885,48.9,51.1,43.8,113192,51.6,48.4,436693,48.2,51.8,107630,51.0,49.0,220166,49.3,50.7,108897,43.4,56.6,34.8,358487,1.2,0.2,56024,41265,16.4,2015
1,Alabama,4802740,48.4,51.6,38.1,1124388,50.8,49.2,3678352,47.7,52.3,1094885,49.6,50.4,1909677,48.5,51.5,673790,42.3,57.7,32.1,2884001,2.5,0.3,56279,38349,19.0,2011
2,Alaska,722718,51.6,48.4,33.9,188223,50.9,49.1,534495,51.9,48.1,183912,53.6,46.4,292216,51.4,48.6,58367,48.7,51.3,36.0,399515,4.9,0.7,66798,47441,10.5,2011
4,Arizona,6482505,49.8,50.2,36.2,1624024,51.2,48.8,4858481,49.3,50.7,1513973,51.6,48.4,2421355,49.3,50.7,923153,45.7,54.3,35.8,3769475,3.5,0.7,57461,43743,19.0,2011
5,Arkansas,2937979,49.3,50.7,37.5,711186,51.7,48.3,2226793,48.5,51.5,665880,50.4,49.6,1132288,49.2,50.8,428625,43.6,56.4,29.5,1753092,2.4,0.3,50605,36908,19.5,2011
6,California,37691912,49.7,50.3,35.4,9267436,51.2,48.8,28424476,49.3,50.7,9385090,51.5,48.5,14641333,49.5,50.5,4398053,43.7,56.3,40.1,21677193,1.3,0.7,68497,53638,16.6,2011
8,Colorado,5116796,50.2,49.8,36.2,1228577,51.4,48.6,3888219,49.8,50.2,1245860,51.8,48.2,2066862,50.1,49.9,575497,44.6,55.4,34.5,3010925,4.0,0.7,67238,48172,13.5,2011
9,Connecticut,3580709,48.7,51.3,40.3,803620,51.2,48.8,2777089,48.0,52.0,760816,50.7,49.3,1500959,48.6,51.4,515314,42.2,57.8,36.4,2227635,2.0,0.6,85596,58918,10.9,2011
10,Delaware,907135,48.5,51.5,39.1,204625,51.1,48.9,702510,47.7,52.3,205587,49.5,50.5,363011,48.2,51.8,133912,43.8,56.2,36.4,552112,3.8,0.5,66739,48145,11.9,2011
11,District of Columbia,617996,47.3,52.7,33.4,105480,50.8,49.2,512516,46.6,53.4,217520,46.2,53.8,225258,49.0,51.0,69738,39.9,60.1,59.3,354681,7.9,1.2,92900,74198,18.7,2011
12,Florida,19057542,48.9,51.1,41.1,3994950,51.2,48.8,15062592,48.3,51.7,4123293,50.9,49.1,7579904,48.6,51.4,3359395,44.5,55.5,35.0,12074063,2.6,0.9,58120,41498,17.0,2011
13,Georgia,9815210,49.0,51.0,35.5,2488069,51.5,48.5,7327141,48.1,51.9,2344673,50.2,49.8,3906573,48.5,51.5,1075895,42.6,57.4,36.0,5651072,2.8,0.5,59923,43296,19.1,2011
15,Hawaii,1374810,50.1,49.9,38.5,304357,51.0,49.0,1070453,49.8,50.2,323566,52.8,47.2,543418,50.1,49.9,203469,44.3,55.7,36.7,836469,4.2,1.2,55527,45489,12.0,2011
16,Idaho,1584985,50.2,49.8,35.0,427653,51.4,48.6,1157332,49.7,50.3,365248,51.4,48.6,587798,49.8,50.2,204286,46.2,53.8,28.9,895585,3.9,0.4,52199,36824,16.5,2011
17,Illinois,12869259,49.0,51.0,36.8,3096540,50.9,49.1,9772719,48.4,51.6,3032212,50.6,49.4,5097912,49.1,50.9,1642595,42.3,57.7,37.5,7620165,1.7,0.6,68057,48293,15.0,2011
18,Indiana,6516922,49.2,50.8,37.1,1597257,51.1,48.9,4919665,48.6,51.4,1495036,50.7,49.3,2568137,49.3,50.7,856492,42.7,57.3,33.5,3840563,2.0,0.3,57088,41008,16.0,2011
19,Iowa,3062309,49.4,50.6,38.1,723856,50.8,49.2,2338453,48.9,51.1,698082,50.9,49.1,1182181,50.2,49.8,458190,42.7,57.3,32.2,1831104,2.3,0.4,56278,39742,12.8,2011
20,Kansas,2871238,49.6,50.4,36.3,722413,51.2,48.8,2148825,49.0,51.0,671276,51.2,48.8,1095590,49.7,50.3,381959,43.2,56.8,32.7,1658171,3.0,0.5,58809,39974,13.8,2011
21,Kentucky,4369356,49.1,50.9,38.2,1024999,51.1,48.9,3344357,48.4,51.6,986658,50.3,49.7,1763738,49.2,50.8,593961,42.9,57.1,31.2,2643119,2.5,0.3,54115,39119,19.1,2011
22,Louisiana,4574836,48.9,51.1,35.9,1119248,51.1,48.9,3455588,48.1,51.9,1114912,49.8,50.2,1769380,48.9,51.1,571296,42.5,57.5,37.7,2647109,2.2,0.3,58936,37774,20.4,2011
23,Maine,1328188,49.0,51.0,43.2,270322,51.8,48.2,1057866,48.3,51.7,260107,50.7,49.3,580451,48.8,51.2,217308,44.2,55.8,30.9,868973,2.6,0.3,56963,40889,14.1,2011
24,Maryland,5828289,48.4,51.6,38.0,1346632,50.9,49.1,4481657,47.6,52.4,1345561,50.1,49.9,2404337,47.8,52.2,731759,42.5,57.5,37.5,3516535,2.7,0.7,74995,58547,10.1,2011
25,Massachusetts,6587536,48.4,51.6,39.3,1405107,51.1,48.9,5182429,47.7,52.3,1543700,49.5,50.5,2716820,48.5,51.5,921909,41.9,58.1,38.2,4052307,2.1,0.9,80260,56389,11.6,2011
26,Michigan,9876187,49.1,50.9,39.2,2293085,51.2,48.8,7583102,48.4,51.6,2163562,50.5,49.5,4031670,49.1,50.9,1387870,43.3,56.7,35.9,6003476,1.4,0.4,62453,44819,17.5,2011
27,Minnesota,5344861,49.7,50.3,37.6,1277661,51.2,48.8,4067200,49.2,50.8,1231925,50.9,49.1,2134192,50.0,50.0,701083,43.9,56.1,35.1,3189963,1.9,0.5,65426,49025,11.9,2011
28,Mississippi,2978512,48.6,51.4,36.1,751941,51.2,48.8,2226571,47.7,52.3,691700,49.8,50.2,1147848,48.3,51.7,387023,42.2,57.8,35.9,1722422,2.3,0.3,52081,34986,22.6,2011
29,Missouri,6010688,49.0,51.0,38.0,1413695,51.2,48.8,4596993,48.3,51.7,1373627,50.2,49.8,2368762,49.0,51.0,854604,43.3,56.7,32.7,3607081,2.5,0.4,58094,41114,15.8,2011
30,Montana,998199,50.1,49.9,39.7,223071,51.4,48.6,775128,49.8,50.2,223340,51.5,48.5,400812,49.9,50.1,150976,46.9,53.1,32.6,613345,3.4,0.3,50926,36279,14.8,2011
31,Nebraska,1842641,49.5,50.5,36.3,460626,51.1,48.9,1382015,49.0,51.0,431748,50.7,49.3,700470,49.9,50.1,249797,43.3,56.7,32.2,1068861,2.9,0.4,56191,40009,13.1,2011
32,Nevada,2723322,50.4,49.6,36.7,663103,51.0,49.0,2060219,50.2,49.8,635504,51.2,48.8,1085075,50.5,49.5,339640,47.3,52.7,35.2,1615564,4.1,0.5,57239,43835,15.9,2011
33,New Hampshire,1318194,49.4,50.6,41.5,279669,51.3,48.7,1038525,48.9,51.1,270510,50.6,49.4,583425,49.4,50.6,184590,44.6,55.4,30.9,840799,2.8,0.4,68954,50067,8.8,2011
34,New Jersey,8821155,48.7,51.3,39.2,2042425,51.1,48.9,6778730,48.0,52.0,1896204,50.7,49.3,3675748,48.6,51.4,1206778,41.9,58.1,36.7,5447880,1.6,0.7,82451,58026,10.4,2011
35,New Mexico,2082224,49.8,50.2,36.6,517753,51.9,48.1,1564471,49.1,50.9,484689,51.6,48.4,796725,49.0,51.0,283057,45.1,54.9,35.6,1213623,3.0,0.6,55626,39959,21.5,2011
36,New York,19465197,48.5,51.5,38.1,4279622,51.2,48.8,15185575,47.7,52.3,4696782,50.0,50.0,7823873,48.4,51.6,2664920,41.6,58.4,40.6,11797114,1.5,0.8,72521,54591,16.0,2011
37,North Carolina,9656401,48.5,51.5,37.7,2289142,50.6,49.4,7367259,47.9,52.1,2214297,50.1,49.9,3877006,48.4,51.6,1275956,42.6,57.4,33.5,5784918,2.8,0.5,57755,42106,17.9,2011
38,North Dakota,683932,50.3,49.7,36.6,151278,50.1,49.9,532654,50.3,49.7,177950,53.5,46.5,256248,50.7,49.3,98456,43.7,56.3,34.5,397687,4.8,0.4,57955,38433,12.2,2011
39,Ohio,11544951,48.9,51.1,39.1,2692372,51.2,48.8,8852579,48.2,51.8,2525251,50.2,49.8,4679494,49.1,50.9,1647834,42.5,57.5,34.1,7033194,1.7,0.3,59150,43166,16.4,2011
40,Oklahoma,3791508,49.5,50.5,36.3,935633,51.3,48.7,2855875,49.0,51.0,899133,51.3,48.7,1439352,49.4,50.6,517390,43.8,56.2,30.2,2205440,2.9,0.4,54378,37311,17.2,2011
41,Oregon,3871859,49.4,50.6,38.7,862020,51.2,48.8,3009839,48.9,51.1,896049,50.7,49.3,1560669,49.4,50.6,553121,44.7,55.3,33.2,2381270,3.3,0.6,59725,43918,17.5,2011
42,Pennsylvania,12742886,48.8,51.2,40.3,2760914,51.3,48.7,9981972,48.1,51.9,2804005,50.4,49.6,5195549,49.1,50.9,1982418,42.2,57.8,36.4,7927094,1.9,0.4,63414,45636,13.8,2011
44,Rhode Island,1051302,48.4,51.6,39.5,219074,51.2,48.8,832228,47.6,52.4,249275,50.2,49.8,429276,48.4,51.6,153677,41.4,58.6,38.9,645589,2.6,0.7,64216,48444,14.7,2011
45,South Carolina,4679230,48.6,51.4,38.0,1082013,50.9,49.1,3597217,47.9,52.1,1077557,50.1,49.9,1864773,48.2,51.8,654887,43.4,56.6,34.4,2812600,3.4,0.4,54309,37468,18.9,2011
46,South Dakota,824082,49.8,50.2,37.1,201849,50.5,49.5,622233,49.6,50.4,189057,51.1,48.9,313151,50.9,49.1,120025,43.8,56.2,33.0,483190,3.4,0.4,50398,36645,13.9,2011
47,Tennessee,6403353,48.7,51.3,38.3,1490454,51.0,49.0,4912899,48.0,52.0,1450470,49.8,50.2,2583396,48.7,51.3,879033,43.0,57.0,32.0,3880239,2.7,0.4,56848,40178,18.3,2011
48,Texas,25674681,49.6,50.4,33.7,6957682,51.1,48.9,18716999,49.1,50.9,6314007,50.9,49.1,9695167,49.3,50.7,2707825,43.8,56.2,34.7,14217234,2.0,0.7,60748,43353,18.5,2011
49,Utah,2817222,50.3,49.7,29.6,881079,51.4,48.6,1936143,49.8,50.2,769353,50.6,49.4,908466,50.3,49.7,258324,45.7,54.3,32.5,1388148,3.1,0.5,61681,39816,13.5,2011
50,Vermont,626431,49.2,50.8,42.0,125921,51.1,48.9,500510,48.8,51.2,136222,50.4,49.6,270647,49.3,50.7,93641,44.7,55.3,33.8,399859,3.3,0.5,55107,45337,11.5,2011
51,Virginia,8096604,49.1,50.9,37.6,1853093,51.4,48.6,6243511,48.5,51.5,1927563,50.7,49.3,3305613,48.8,51.2,1010335,43.3,56.7,34.7,4858470,3.2,0.8,72586,51817,11.5,2011
53,Washington,6830038,49.9,50.1,37.3,1580242,51.2,48.8,5249796,49.5,50.5,1626042,51.6,48.4,2762511,49.8,50.2,861243,44.8,55.2,34.0,4096864,3.1,0.8,68274,49926,13.9,2011
54,West Virginia,1855364,49.3,50.7,41.4,386831,51.5,48.5,1468533,48.7,51.3,392240,50.8,49.2,774976,49.6,50.4,301317,43.8,56.2,31.7,1188667,2.7,0.3,55291,36565,18.6,2011
55,Wisconsin,5711767,49.6,50.4,38.7,1324400,51.2,48.8,4387367,49.2,50.8,1287208,51.0,49.0,2307945,50.0,50.0,792214,43.6,56.4,34.5,3463566,1.9,0.3,58419,42370,13.1,2011
56,Wyoming,568158,50.9,49.1,36.8,135091,51.3,48.7,433067,50.8,49.2,136777,53.1,46.9,224261,50.9,49.1,72029,46.3,53.7,32.4,334743,5.5,0.2,60400,40139,11.3,2011
10420,"Akron, OH Metro Area",701456,48.4,51.6,39.9,153972,50.6,49.4,547484,47.8,52.2,158496,49.4,50.6,287875,48.7,51.3,101113,42.8,57.2,35.7,430103,1.1,0.4,58635,42981,16.6,2011
10580,"Albany-Schenectady-Troy, NY Metro Area",871478,48.9,51.1,40.2,181699,51.7,48.3,689779,48.2,51.8,204581,50.7,49.3,361219,48.8,51.2,123979,42.0,58.0,38.9,536531,1.9,0.6,63769,48003,11.5,2011
10740,"Albuquerque, NM Metro Area",899149,49.4,50.6,36.5,219023,51.7,48.3,680126,48.6,51.4,214283,50.6,49.4,352225,48.8,51.2,113618,44.3,55.7,36.6,527308,2.8,0.5,58467,43124,20.4,2011
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",824916,48.9,51.1,40.7,184329,52.0,48.0,640587,48.0,52.0,168250,50.2,49.8,345885,49.1,50.9,126452,42.1,57.9,33.7,519843,2.1,0.4,65856,44279,11.8,2011
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5365726,48.9,51.1,35.2,1403024,51.6,48.4,3962702,47.9,52.1,1264549,49.9,50.1,2202487,48.0,52.0,495666,42.8,57.2,37.0,3086438,2.7,0.5,67478,48375,16.8,2011
12260,"Augusta-Richmond County, GA-SC Metro Area",560467,48.9,51.1,36.6,135753,51.9,48.1,424714,47.9,52.1,131967,50.6,49.4,221439,47.9,52.1,71308,42.8,57.2,34.9,329849,4.6,0.4,56636,39388,18.9,2011
12420,"Austin-Round Rock-San Marcos, TX Metro Area",1783519,50.2,49.8,32.9,447869,51.5,48.5,1335650,49.8,50.2,500061,51.1,48.9,688361,50.0,50.0,147228,44.2,55.8,39.2,982438,2.8,0.7,67542,48319,15.2,2011
12540,"Bakersfield-Delano, CA Metro Area",851710,51.6,48.4,30.7,254892,50.6,49.4,596818,51.9,48.1,220643,54.6,45.4,298808,51.6,48.4,77367,45.5,54.5,39.7,435649,0.9,0.3,52956,42831,24.5,2011
12580,"Baltimore-Towson, MD Metro Area",2729110,48.1,51.9,38.1,619904,50.6,49.4,2109206,47.3,52.7,639932,49.5,50.5,1118509,47.8,52.2,350765,41.9,58.1,38.6,1647190,2.1,0.5,74544,55827,11.6,2011
12940,"Baton Rouge, LA Metro Area",808242,48.9,51.1,34.3,196610,50.5,49.5,611632,48.4,51.6,214891,50.2,49.8,308274,48.9,51.1,88467,42.5,57.5,38.9,452427,1.6,0.2,60408,40639,17.6,2011
13820,"Birmingham-Hoover, AL Metro Area",1132264,48.0,52.0,37.8,267406,50.7,49.3,864858,47.2,52.8,258428,48.7,51.3,456709,48.1,51.9,149721,41.9,58.1,31.1,687011,1.6,0.3,63823,42000,16.5,2011
14260,"Boise City-Nampa, ID Metro Area",627281,49.8,50.2,34.7,172960,50.9,49.1,454321,49.4,50.6,143874,50.8,49.2,239199,50.0,50.0,71248,44.8,55.2,29.3,354097,4.1,0.4,54183,39534,16.2,2011
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4591112,48.4,51.6,38.6,975695,51.1,48.9,3615417,47.7,52.3,1110087,49.5,50.5,1894710,48.5,51.5,610620,42.0,58.0,38.0,2807162,2.4,1.1,85933,59049,10.7,2011
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",925899,48.7,51.3,39.6,225938,51.1,48.9,699961,47.9,52.1,181913,50.7,49.3,390822,48.5,51.5,127226,42.2,57.8,36.0,573013,2.4,0.8,119240,71409,9.4,2011
15380,"Buffalo-Niagara Falls, NY Metro Area",1134039,48.4,51.6,40.7,240634,51.4,48.6,893405,47.6,52.4,253454,50.3,49.7,460745,48.7,51.3,179206,41.0,59.0,39.2,704086,1.2,0.4,62429,44437,14.8,2011
15980,"Cape Coral-Fort Myers, FL Metro Area",631330,49.2,50.8,46.1,122287,51.6,48.4,509043,48.6,51.4,115828,50.9,49.1,239786,48.2,51.8,153429,47.7,52.3,30.7,426477,3.6,0.5,54350,40398,15.3,2011
16700,"Charleston-North Charleston-Summerville, SC Metro Area",682121,48.6,51.4,35.5,157574,49.6,50.4,524547,48.3,51.7,177422,50.4,49.6,267326,48.3,51.7,79799,43.3,56.7,35.8,396226,5.4,0.3,55475,39199,16.9,2011
16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",1795472,48.4,51.6,35.6,463350,50.7,49.3,1332122,47.6,52.4,418213,49.0,51.0,730356,48.2,51.8,183553,41.9,58.1,33.5,1048669,3.3,0.5,69915,46637,15.7,2011
16860,"Chattanooga, TN-GA Metro Area",529123,48.4,51.6,39.6,117672,51.1,48.9,411451,47.6,52.4,116287,49.8,50.2,214759,48.5,51.5,80405,42.3,57.7,30.7,329626,2.7,0.1,56834,40040,17.6,2011
16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",9504024,48.9,51.1,36.0,2355575,50.9,49.1,7148449,48.2,51.8,2266438,50.3,49.7,3776401,48.8,51.2,1105610,42.0,58.0,39.0,5563626,1.9,0.6,72349,51605,14.7,2011
17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2137735,49.0,51.0,37.3,529382,51.4,48.6,1608353,48.2,51.8,476707,50.0,50.0,868130,49.1,50.9,263516,42.4,57.6,34.1,1269327,2.2,0.4,62997,46405,14.3,2011
17460,"Cleveland-Elyria-Mentor, OH Metro Area",2068283,48.1,51.9,40.7,469808,51.0,49.0,1598475,47.2,52.8,420120,49.6,50.4,859447,48.3,51.7,318908,41.4,58.6,36.6,1299106,1.3,0.4,64129,45276,16.0,2011
17820,"Colorado Springs, CO Metro Area",660276,50.0,50.0,34.3,168309,51.3,48.7,491967,49.6,50.4,166849,53.1,46.9,257995,48.9,51.1,67123,43.6,56.4,31.9,369419,7.7,1.0,64224,42848,12.9,2011
17900,"Columbia, SC Metro Area",775897,49.0,51.0,36.1,177843,52.1,47.9,598054,48.0,52.0,197613,50.7,49.3,309531,48.1,51.9,90910,42.1,57.9,38.4,451047,3.9,0.4,55254,39137,17.6,2011
18140,"Columbus, OH Metro Area",1858464,49.1,50.9,35.4,455089,51.1,48.9,1403375,48.5,51.5,465008,50.3,49.7,738616,49.0,51.0,199751,42.4,57.6,36.4,1073711,2.1,0.4,64948,48569,15.4,2011
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6526566,49.3,50.7,33.7,1805959,51.2,48.8,4720607,48.6,51.4,1580087,49.9,50.1,2550875,49.1,50.9,589645,43.2,56.8,34.1,3626273,1.9,0.6,64982,46945,15.8,2011
19380,"Dayton, OH Metro Area",845388,48.3,51.7,39.4,191087,50.8,49.2,654301,47.6,52.4,190207,49.9,50.1,334088,48.2,51.8,130006,42.6,57.4,33.2,514598,2.9,0.5,58279,42847,17.6,2011
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",494804,49.1,50.9,45.9,92150,52.4,47.6,402654,48.4,51.6,95574,51.4,48.6,200784,48.9,51.1,106296,44.7,55.3,34.7,331825,3.2,0.3,52821,38191,17.1,2011
19740,"Denver-Aurora-Broomfield, CO Metro Area",2600594,49.8,50.2,35.9,641183,51.3,48.7,1959411,49.3,50.7,626548,50.6,49.4,1063575,49.9,50.1,269288,43.6,56.4,35.0,1534032,3.3,0.8,71179,51443,12.8,2011
19780,"Des Moines-West Des Moines, IA Metro Area",578665,49.1,50.9,35.3,148742,50.9,49.1,429923,48.5,51.5,137973,49.4,50.6,226268,49.6,50.4,65682,42.5,57.5,31.6,335422,1.9,0.6,63732,44891,11.1,2011
19820,"Detroit-Warren-Livonia, MI Metro Area",4285832,48.5,51.5,39.4,1020342,51.1,48.9,3265490,47.6,52.4,885146,49.7,50.3,1801653,48.5,51.5,578691,41.9,58.1,37.5,2638318,1.1,0.5,69375,48430,18.0,2011
20500,"Durham-Chapel Hill, NC Metro Area",512979,47.7,52.3,35.4,112675,50.8,49.2,400304,46.8,53.2,141632,48.5,51.5,200126,47.1,52.9,58546,41.7,58.3,39.7,295385,4.1,0.9,64261,55692,18.4,2011
21340,"El Paso, TX Metro Area",820790,48.7,51.3,31.2,243863,51.0,49.0,576927,47.7,52.3,205802,50.9,49.1,286059,47.2,52.8,85066,41.3,58.7,36.3,423369,3.6,1.7,46123,36870,24.7,2011
23420,"Fresno, CA Metro Area",942904,50.0,50.0,30.9,277936,51.0,49.0,664968,49.5,50.5,244874,51.4,48.6,323426,49.8,50.2,96668,43.9,56.1,40.7,484088,0.6,0.3,52924,44887,25.8,2011
24340,"Grand Rapids-Wyoming, MI Metro Area",779604,49.5,50.5,35.8,199515,51.5,48.5,580089,48.9,51.1,183187,50.1,49.9,305265,49.8,50.2,91637,43.5,56.5,33.6,448656,1.5,0.4,59244,43352,14.7,2011
24660,"Greensboro-High Point, NC Metro Area",730966,48.0,52.0,38.2,169896,51.2,48.8,561070,47.0,53.0,166969,47.7,52.3,295603,48.3,51.7,98498,42.1,57.9,33.8,440503,2.2,0.2,54682,40739,17.7,2011
24860,"Greenville-Mauldin-Easley, SC Metro Area",647401,48.9,51.1,37.2,151304,51.8,48.2,496097,48.1,51.9,155465,50.0,50.0,254414,48.6,51.4,86218,42.9,57.1,33.1,381910,3.4,0.5,59449,39722,17.5,2011
25420,"Harrisburg-Carlisle, PA Metro Area",552911,48.9,51.1,40.3,120391,51.5,48.5,432520,48.2,51.8,120616,50.2,49.8,230233,49.3,50.7,81671,42.0,58.0,33.8,345037,1.9,0.6,62626,44965,10.5,2011
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1213255,48.7,51.3,40.5,265423,51.3,48.7,947832,47.9,52.1,264556,50.4,49.6,506481,48.6,51.4,176795,42.2,57.8,36.8,754243,1.9,0.6,77787,55798,11.4,2011
26180,"Honolulu, HI Metro Area",963607,50.1,49.9,37.6,211551,51.2,48.8,752056,49.8,50.2,238813,53.4,46.6,369969,50.0,50.0,143274,43.5,56.5,38.1,577291,4.8,1.3,57330,46487,10.1,2011
26420,"Houston-Sugar Land-Baytown, TX Metro Area",6086895,49.8,50.2,33.4,1685665,51.1,48.9,4401230,49.2,50.8,1495617,50.8,49.2,2362804,49.4,50.6,542809,44.1,55.9,35.4,3364088,1.7,0.7,68225,47958,17.4,2011
26900,"Indianapolis-Carmel, IN Metro Area",1777684,48.8,51.2,35.7,461727,51.2,48.8,1315957,48.0,52.0,411011,49.4,50.6,708181,48.8,51.2,196765,42.0,58.0,33.6,1031008,1.6,0.5,64452,45884,14.1,2011
27140,"Jackson, MS Metro Area",545394,47.6,52.4,35.3,139275,50.6,49.4,406119,46.6,53.4,131505,48.7,51.3,213500,46.9,53.1,61114,41.3,58.7,36.6,311314,1.3,0.2,56618,38892,18.5,2011
27260,"Jacksonville, FL Metro Area",1358593,48.7,51.3,37.6,317695,50.6,49.4,1040898,48.2,51.8,314096,50.5,49.5,554531,48.3,51.7,172271,43.6,56.4,33.9,814479,2.8,0.5,60202,44280,15.2,2011
28140,"Kansas City, MO-KS Metro Area",2049773,48.9,51.1,36.7,518349,51.2,48.8,1531424,48.1,51.9,457389,49.8,50.2,824214,48.9,51.1,249821,42.9,57.1,32.2,1218728,3.5,0.4,67159,45786,13.4,2011
28940,"Knoxville, TN Metro Area",704500,48.5,51.5,39.8,151478,51.2,48.8,553022,47.8,52.2,160695,50.0,50.0,287530,48.4,51.6,104797,42.8,57.2,31.7,435166,2.3,0.2,59659,40940,14.2,2011
29460,"Lakeland-Winter Haven, FL Metro Area",609492,48.8,51.2,40.4,141446,50.7,49.3,468046,48.2,51.8,126859,50.1,49.9,229386,48.5,51.5,111801,45.6,54.4,31.7,377124,2.1,0.6,48643,36529,19.4,2011
29540,"Lancaster, PA Metro Area",523594,48.8,51.2,38.2,128492,51.0,49.0,395102,48.1,51.9,113069,49.9,50.1,202368,49.0,51.0,79665,43.2,56.8,32.7,312253,1.5,0.3,55280,40629,10.9,2011
29820,"Las Vegas-Paradise, NV Metro Area",1969975,50.3,49.7,35.8,489208,51.2,48.8,1480767,50.0,50.0,474532,51.0,49.0,775353,50.4,49.6,230882,47.0,53.0,36.5,1153770,4.2,0.6,54868,44173,16.9,2011
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",708084,48.7,51.3,36.0,171476,51.5,48.5,536608,47.9,52.1,172630,49.7,50.3,275184,48.3,51.7,88794,42.7,57.3,31.9,414433,2.3,0.3,54600,41792,14.7,2011
