Id2,Geography, SEX AND AGE - Total population, SEX AND AGE - Total population - Male, SEX AND AGE - Total population - Female, SEX AND AGE - Median age (years), SEX AND AGE - Under 18 years, SEX AND AGE - Under 18 years - Male, SEX AND AGE - Under 18 years - Female, SEX AND AGE - 18 years and over, SEX AND AGE - 18 years and over - Male, SEX AND AGE - 18 years and over - Female, SEX AND AGE - 18 to 34 years, SEX AND AGE - 18 to 34 years - Male, SEX AND AGE - 18 to 34 years - Female, SEX AND AGE - 35 to 64 years, SEX AND AGE - 35 to 64 years - Male, SEX AND AGE - 35 to 64 years - Female, SEX AND AGE - 65 years and over, SEX AND AGE - 65 years and over - Male, SEX AND AGE - 65 years and over - Female, MARITAL STATUS - Male 15 years and over - Never married, RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS - Population 30 years and over, RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state, RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,"Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Male","Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Female", POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people,YEAR
42220,"Santa Rosa, CA Metro Area",500292,49.0,51.0,41.1,103225,51.1,48.9,397067,48.5,51.5,111284,51.0,49.0,203247,48.8,51.2,82536,44.1,55.9,35.7,320043,1.3,0.3,75428,59668,11.3,2014
42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",559679,49.1,50.9,42.7,110719,52.0,48.0,448960,48.3,51.7,120688,50.9,49.1,222684,49.9,50.1,105588,42.1,57.9,38.3,361679,1.8,0.4,56457,41055,15.5,2014
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",3671478,50.0,50.0,36.9,811923,51.1,48.9,2859555,49.7,50.3,916588,51.5,48.5,1492991,50.2,49.8,449976,44.2,55.8,36.1,2236812,3.2,1.2,80126,59071,11.3,2014
44060,"Spokane-Spokane Valley, WA Metro Area",542073,49.5,50.5,38.0,122265,50.8,49.2,419808,49.1,50.9,129300,51.2,48.8,206607,49.1,50.9,83901,45.9,54.1,31.6,326049,2.9,0.6,60013,44603,16.9,2014
44140,"Springfield, MA Metro Area",629100,47.7,52.3,38.1,130500,50.4,49.6,498600,47.0,53.0,165029,48.4,51.6,238448,47.8,52.2,95123,42.5,57.5,43.2,370641,2.5,0.7,65233,50958,17.4,2014
44700,"Stockton-Lodi, CA Metro Area",715597,49.8,50.2,33.7,199023,51.2,48.8,516574,49.2,50.8,170071,51.3,48.7,262205,49.5,50.5,84298,44.2,55.8,37.8,394847,1.2,0.3,61030,45955,20.9,2014
45060,"Syracuse, NY Metro Area",661478,48.7,51.3,39.1,143120,51.1,48.9,518358,48.0,52.0,157419,49.6,50.4,260518,48.7,51.3,100421,43.9,56.1,38.5,400324,1.6,0.6,63201,48253,16.5,2014
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2915582,48.4,51.6,42.1,597896,51.0,49.0,2317686,47.7,52.3,610713,49.5,50.5,1161821,48.3,51.7,545152,44.5,55.5,34.4,1888383,2.9,0.8,60334,45295,15.8,2014
45780,"Toledo, OH Metro Area",607456,48.7,51.3,37.5,138215,51.4,48.6,469241,47.9,52.1,149386,49.7,50.3,231667,48.7,51.3,88188,43.0,57.0,38.4,356977,2.0,0.3,63499,43735,18.8,2014
46060,"Tucson, AZ Metro Area",1004516,49.2,50.8,38.0,219839,51.1,48.9,784677,48.7,51.3,245854,51.2,48.8,360778,48.6,51.4,178045,45.1,54.9,38.9,601656,3.3,0.7,56304,45790,18.9,2014
46140,"Tulsa, OK Metro Area",970391,49.1,50.9,36.9,244070,51.4,48.6,726321,48.3,51.7,218978,49.8,50.2,369928,49.1,50.9,137415,43.8,56.2,30.5,573495,2.5,0.4,61405,40944,14.4,2014
46520,"Urban Honolulu, HI Metro Area",991788,50.7,49.3,36.7,213587,51.2,48.8,778201,50.6,49.4,259919,55.3,44.7,361554,50.3,49.7,156728,43.6,56.4,38.8,591518,4.8,0.9,60456,49089,9.7,2014
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1717387,49.0,51.0,35.5,386572,50.5,49.5,1330815,48.6,51.4,459957,52.3,47.7,648602,47.9,52.1,222256,42.8,57.2,37.1,991036,4.2,0.7,59338,44868,12.4,2014
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6032744,48.9,51.1,36.4,1404798,51.1,48.9,4627946,48.2,51.8,1478989,49.8,50.2,2461140,48.5,51.5,687817,43.4,56.6,38.7,3624411,4.0,1.4,89648,70057,8.7,2014
48620,"Wichita, KS Metro Area",641225,49.7,50.3,35.7,168410,50.9,49.1,472815,49.2,50.8,147776,51.2,48.8,238581,49.8,50.2,86458,44.1,55.9,32.9,368281,1.7,0.7,62711,42009,13.9,2014
49180,"Winston-Salem, NC Metro Area",655015,47.9,52.1,40.4,151519,50.1,49.9,503496,47.2,52.8,135564,49.4,50.6,265217,48.0,52.0,102715,42.5,57.5,30.4,405642,2.0,0.2,56324,41157,18.8,2014
49340,"Worcester, MA-CT Metro Area",930473,49.3,50.7,40.2,202628,51.2,48.8,727845,48.7,51.3,207394,50.7,49.3,388632,49.4,50.6,131819,43.5,56.5,38.3,576372,1.4,0.6,72861,54823,11.2,2014
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",553263,48.6,51.4,43.9,114120,50.4,49.6,439143,48.2,51.8,108329,51.3,48.7,223760,49.1,50.9,107054,43.0,57.0,34.5,360332,1.6,0.2,52949,38293,17.2,2014
1,Alabama,4858979,48.4,51.6,38.7,1108408,51.0,49.0,3750571,47.7,52.3,1092791,49.5,50.5,1895933,48.4,51.6,761847,43.2,56.8,34.1,2964297,2.4,0.2,58655,40772,18.5,2015
2,Alaska,738432,52.6,47.4,33.3,186391,51.6,48.4,552041,53.0,47.0,201296,55.7,44.3,279737,52.0,48.0,71008,49.4,50.6,40.4,406676,4.8,0.6,69170,52903,10.3,2015
4,Arizona,6828065,49.6,50.4,37.4,1621528,50.9,49.1,5206537,49.2,50.8,1584344,51.6,48.4,2502189,49.1,50.9,1120004,46.0,54.0,37.4,4069827,3.8,0.7,60980,46434,17.4,2015
5,Arkansas,2978204,49.1,50.9,37.9,705944,51.6,48.4,2272260,48.4,51.6,669832,50.0,50.0,1124314,49.1,50.9,478114,44.4,55.6,30.7,1791100,2.8,0.3,55540,40188,19.1,2015
6,California,39144818,49.7,50.3,36.2,9116418,51.0,49.0,30028400,49.2,50.8,9775849,51.5,48.5,15062993,49.5,50.5,5189558,44.3,55.7,40.6,23088301,1.3,0.9,72875,57276,15.3,2015
8,Colorado,5456574,50.2,49.8,36.4,1256772,51.0,49.0,4199802,50.0,50.0,1355086,52.1,47.9,2133144,50.2,49.8,711572,45.5,54.5,35.5,3253346,4.2,0.6,70656,52453,11.5,2015
9,Connecticut,3590886,48.8,51.2,40.6,763325,51.2,48.8,2827561,48.1,51.9,795619,50.9,49.1,1466659,48.5,51.5,565283,43.1,56.9,38.2,2254743,2.2,0.8,90620,62701,10.5,2015
10,Delaware,945934,48.4,51.6,39.7,204200,51.1,48.9,741734,47.7,52.3,213446,49.7,50.3,367464,47.9,52.1,160824,44.7,55.3,36.6,587502,4.8,0.5,66919,53211,12.4,2015
11,District of Columbia,672228,47.6,52.4,33.8,117838,51.0,49.0,554390,46.8,53.2,233993,46.5,53.5,243806,49.2,50.8,76591,40.2,59.8,57.4,394863,9.0,1.6,100285,80455,17.3,2015
12,Florida,20271272,48.8,51.2,41.8,4102989,50.9,49.1,16168283,48.3,51.7,4367255,50.7,49.3,7855795,48.6,51.4,3945233,44.9,55.1,35.4,13060153,2.9,1.1,59728,44386,15.7,2015
13,Georgia,10214860,48.7,51.3,36.4,2502414,51.1,48.9,7712446,47.9,52.1,2411947,50.1,49.9,3997740,48.1,51.9,1302759,43.3,56.7,36.7,5982512,2.8,0.6,63307,46450,17.0,2015
15,Hawaii,1431603,50.6,49.4,37.7,311206,50.9,49.1,1120397,50.5,49.5,350879,54.8,45.2,532365,50.1,49.9,237153,45.0,55.0,37.7,872924,3.8,1.3,60276,48703,10.6,2015
16,Idaho,1654930,50.0,50.0,35.8,432181,51.2,48.8,1222749,49.5,50.5,373577,50.7,49.3,605908,49.8,50.2,243264,46.9,53.1,31.3,957838,4.5,0.6,57714,38618,15.1,2015
17,Illinois,12859995,49.1,50.9,37.7,2960185,51.0,49.0,9899810,48.5,51.5,3011084,50.4,49.6,5060501,49.3,50.7,1828225,43.3,56.7,38.3,7779321,1.7,0.5,73583,52690,13.6,2015
18,Indiana,6619680,49.1,50.9,37.5,1579734,50.9,49.1,5039946,48.6,51.4,1518395,50.4,49.6,2556227,49.4,50.6,965324,43.7,56.3,34.5,3938561,2.3,0.3,60575,43474,14.5,2015
19,Iowa,3123899,49.6,50.4,38.1,728753,51.1,48.9,2395146,49.1,50.9,713394,51.1,48.9,1180600,50.1,49.9,501152,44.2,55.8,32.7,1882684,2.8,0.3,60617,42787,12.2,2015
20,Kansas,2911641,49.8,50.2,36.2,720234,51.0,49.0,2191407,49.4,50.6,687427,51.9,48.1,1077928,49.8,50.2,426052,44.1,55.9,33.6,1698782,3.2,0.6,63358,43946,13.0,2015
21,Kentucky,4425092,49.1,50.9,38.8,1010583,51.1,48.9,3414509,48.6,51.4,987221,50.5,49.5,1753160,49.3,50.7,674128,43.9,56.1,31.6,2702501,2.4,0.4,57606,42053,18.5,2015
22,Louisiana,4670724,48.9,51.1,36.4,1116185,51.5,48.5,3554539,48.1,51.9,1129884,49.8,50.2,1771047,48.8,51.2,653608,43.5,56.5,38.7,2756818,2.0,0.3,63850,41006,19.6,2015
23,Maine,1329328,49.0,51.0,44.6,255859,51.6,48.4,1073469,48.3,51.7,264193,50.1,49.9,558708,48.9,51.1,250568,45.2,54.8,32.0,885048,2.3,0.3,59774,44549,13.4,2015
24,Maryland,6006401,48.5,51.5,38.3,1347732,51.1,48.9,4658669,47.7,52.3,1390316,50.0,50.0,2421368,48.0,52.0,846985,43.1,56.9,37.6,3679710,2.8,0.8,78655,61000,9.7,2015
25,Massachusetts,6794422,48.5,51.5,39.4,1387194,51.2,48.8,5407228,47.9,52.1,1642360,49.8,50.2,2720642,48.6,51.4,1044226,43.0,57.0,40.4,4223059,2.0,1.0,84941,63065,11.5,2015
26,Michigan,9922576,49.2,50.8,39.7,2207824,51.1,48.9,7714752,48.6,51.4,2207963,50.6,49.4,3936148,49.2,50.8,1570641,44.3,55.7,36.6,6099620,1.5,0.5,64879,46554,15.8,2015
27,Minnesota,5489594,49.7,50.3,37.9,1282898,51.3,48.7,4206696,49.2,50.8,1251472,50.7,49.3,2150266,50.1,49.9,804958,44.9,55.1,34.9,3339530,2.0,0.6,70344,52697,10.2,2015
28,Mississippi,2992333,48.4,51.6,37.0,728007,50.7,49.3,2264326,47.7,52.3,685910,49.8,50.2,1137455,48.1,51.9,440961,43.1,56.9,37.3,1760922,2.3,0.3,52139,37531,22.0,2015
29,Missouri,6083672,49.0,51.0,38.4,1392566,51.1,48.9,4691106,48.4,51.6,1390103,50.4,49.6,2350055,49.1,50.9,950948,43.8,56.2,33.5,3698570,2.6,0.4,60772,44242,14.8,2015
30,Montana,1032949,50.2,49.8,39.9,226227,51.0,49.0,806722,50.0,50.0,229050,52.0,48.0,398741,50.0,50.0,178931,47.6,52.4,33.3,643429,4.2,0.3,58297,41050,14.6,2015
31,Nebraska,1896190,49.7,50.3,36.1,470630,51.1,48.9,1425560,49.3,50.7,445629,51.1,48.9,701240,50.1,49.9,278691,44.2,55.8,34.4,1112371,2.8,0.5,59769,43614,12.6,2015
